,NDC,coverage,all_gases_covered,all_sectors_covered,everything_covered,nothing_covered,pccov_fut_SSP1,pccov_fut_method_SSP1,pccov_fut_SSP2,pccov_fut_method_SSP2,pccov_fut_SSP3,pccov_fut_method_SSP3,pccov_fut_SSP4,pccov_fut_method_SSP4,pccov_fut_SSP5,pccov_fut_method_SSP5
KAZ,YES,IPPU set to covered (as some F-gas is covered). OTHER set to covered (as all remaining main sectors - excluding LULUCF - are covered). ,NO,YES,NO,NO,test,GasShare,test,GasShare,test,GasShare,test,GasShare,test,GasShare
KEN,YES,IPPU set to covered (as some F-gas is covered). OTHER set to covered (as all remaining main sectors - excluding LULUCF - are covered). ,YES,YES,YES,NO,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%
KGZ,YES,IPPU set to covered (as some F-gas is covered). OTHER set to covered (as all remaining main sectors - excluding LULUCF - are covered). ,YES,YES,YES,NO,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%
KHM,YES,OTHER set to covered (as all remaining main sectors - excluding LULUCF - are covered). ,NO,YES,NO,NO,test,GasShare,test,GasShare,test,GasShare,test,GasShare,test,GasShare
KIR,YES,,NO,NO,NO,NO,"The correlation between emitot_his and emicov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (1.00) is larger than 0.85, the emicov for future years are calculated from the correlation.
",Correlation,"The correlation between emitot_his and emicov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (1.00) is larger than 0.85, the emicov for future years are calculated from the correlation.
",Correlation,"The correlation between emitot_his and emicov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (1.00) is larger than 0.85, the emicov for future years are calculated from the correlation.
",Correlation,"The correlation between emitot_his and emicov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (1.00) is larger than 0.85, the emicov for future years are calculated from the correlation.
",Correlation,"The correlation between emitot_his and emicov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (1.00) is larger than 0.85, the emicov for future years are calculated from the correlation.
",Correlation
KNA,YES,OTHER set to covered (as all remaining main sectors - excluding LULUCF - are covered). ,NO,YES,NO,NO,test,GasShare,test,GasShare,test,GasShare,test,GasShare,test,GasShare
KOR,YES,IPPU set to covered (as some F-gas is covered). OTHER set to covered (as all remaining main sectors - excluding LULUCF - are covered). ,NO,YES,NO,NO,test,GasShare,test,GasShare,test,GasShare,test,GasShare,test,GasShare
KWT,YES,,NO,NO,NO,NO,"The correlation between emitot_his and emicov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (0.98) is larger than 0.85, the emicov for future years are calculated from the correlation.
As there were pccov_fut greater than 90%, while in 2010 to 2017 no values were greater than 90%, they were set to 90% (2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025, 2026, 2027, 2028, 2029, 2030, 2031, 2032, 2033, 2034, 2035, 2036, 2037, 2038, 2039, 2040, 2041, 2042, 2043, 2044, 2045, 2046, 2047, 2048, 2049, 2050).
",Correlation,"The correlation between emitot_his and emicov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (0.98) is larger than 0.85, the emicov for future years are calculated from the correlation.
As there were pccov_fut greater than 90%, while in 2010 to 2017 no values were greater than 90%, they were set to 90% (2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025, 2026, 2027, 2028, 2029, 2030, 2031, 2032, 2033, 2034, 2035, 2036, 2037, 2038, 2039, 2040, 2041, 2042, 2043, 2044, 2045, 2046, 2047, 2048, 2049, 2050).
",Correlation,"The correlation between emitot_his and emicov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (0.98) is larger than 0.85, the emicov for future years are calculated from the correlation.
As there were pccov_fut greater than 90%, while in 2010 to 2017 no values were greater than 90%, they were set to 90% (2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025, 2026, 2027, 2028, 2029, 2030, 2031, 2032, 2033, 2034, 2035, 2036, 2037, 2038, 2039, 2040, 2041, 2042, 2043, 2044, 2045).
",Correlation,"The correlation between emitot_his and emicov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (0.98) is larger than 0.85, the emicov for future years are calculated from the correlation.
As there were pccov_fut greater than 90%, while in 2010 to 2017 no values were greater than 90%, they were set to 90% (2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025, 2026, 2027, 2028, 2029, 2030, 2031, 2032, 2033, 2034, 2035, 2036, 2037, 2038, 2039, 2040).
",Correlation,"The correlation between emitot_his and emicov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (0.98) is larger than 0.85, the emicov for future years are calculated from the correlation.
As there were pccov_fut greater than 90%, while in 2010 to 2017 no values were greater than 90%, they were set to 90% (2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025, 2026, 2027, 2028, 2029, 2030, 2031, 2032, 2033, 2034, 2035, 2036, 2037).
",Correlation
LAO,YES,,NO,NO,NO,NO,"The correlation between emitot_his and eminotcov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (0.99) is larger than 0.85, the emicov for future years are calculated from the correlation.
",Correlation,"The correlation between emitot_his and eminotcov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (0.99) is larger than 0.85, the emicov for future years are calculated from the correlation.
",Correlation,"The correlation between emitot_his and eminotcov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (0.99) is larger than 0.85, the emicov for future years are calculated from the correlation.
",Correlation,"The correlation between emitot_his and eminotcov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (0.99) is larger than 0.85, the emicov for future years are calculated from the correlation.
",Correlation,"The correlation between emitot_his and eminotcov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (0.99) is larger than 0.85, the emicov for future years are calculated from the correlation.
",Correlation
LBN,YES,OTHER set to covered (as all remaining main sectors - excluding LULUCF - are covered). ,NO,YES,NO,NO,test,GasShare,test,GasShare,test,GasShare,test,GasShare,test,GasShare
LBR,YES,,NO,NO,NO,NO,"The correlation between emitot_his and emicov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (1.00) is larger than 0.85, the emicov for future years are calculated from the correlation.
",Correlation,"The correlation between emitot_his and emicov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (1.00) is larger than 0.85, the emicov for future years are calculated from the correlation.
",Correlation,"The correlation between emitot_his and emicov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (1.00) is larger than 0.85, the emicov for future years are calculated from the correlation.
",Correlation,"The correlation between emitot_his and emicov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (1.00) is larger than 0.85, the emicov for future years are calculated from the correlation.
",Correlation,"The correlation between emitot_his and emicov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (1.00) is larger than 0.85, the emicov for future years are calculated from the correlation.
",Correlation
LBY,NO,,NO,NO,NO,YES,None of the sectors and gases are covered and pccov_fut is set to 0 (0%).,SetTo0%,None of the sectors and gases are covered and pccov_fut is set to 0 (0%).,SetTo0%,None of the sectors and gases are covered and pccov_fut is set to 0 (0%).,SetTo0%,None of the sectors and gases are covered and pccov_fut is set to 0 (0%).,SetTo0%,None of the sectors and gases are covered and pccov_fut is set to 0 (0%).,SetTo0%
LCA,YES,OTHER set to covered (as all remaining main sectors - excluding LULUCF - are covered). ,NO,YES,NO,NO,test,GasShare,test,GasShare,test,GasShare,test,GasShare,test,GasShare
LIE,YES,IPPU set to covered (as some F-gas is covered). OTHER set to covered (as all remaining main sectors - excluding LULUCF - are covered). ,YES,YES,YES,NO,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%
LKA,YES,,NO,NO,NO,NO,"The correlation between emitot_his and emicov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (1.00) is larger than 0.85, the emicov for future years are calculated from the correlation.
",Correlation,"The correlation between emitot_his and emicov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (1.00) is larger than 0.85, the emicov for future years are calculated from the correlation.
",Correlation,"The correlation between emitot_his and emicov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (1.00) is larger than 0.85, the emicov for future years are calculated from the correlation.
The resulting covered emissions exceed the total emissions or are negative, therefore the mean over 2010 to 2017 is used insted of the correlation.
",Mean,"The correlation between emitot_his and emicov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (1.00) is larger than 0.85, the emicov for future years are calculated from the correlation.
",Correlation,"The correlation between emitot_his and emicov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (1.00) is larger than 0.85, the emicov for future years are calculated from the correlation.
The resulting covered emissions exceed the total emissions or are negative, therefore the mean over 2010 to 2017 is used insted of the correlation.
",Mean
LSO,YES,OTHER set to covered (as all remaining main sectors - excluding LULUCF - are covered). ,NO,YES,NO,NO,test,GasShare,test,GasShare,test,GasShare,test,GasShare,test,GasShare
LTU,YES,IPPU set to covered (as some F-gas is covered). OTHER set to covered (as all remaining main sectors - excluding LULUCF - are covered). ,YES,YES,YES,NO,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%
LUX,YES,IPPU set to covered (as some F-gas is covered). OTHER set to covered (as all remaining main sectors - excluding LULUCF - are covered). ,YES,YES,YES,NO,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%
LVA,YES,IPPU set to covered (as some F-gas is covered). OTHER set to covered (as all remaining main sectors - excluding LULUCF - are covered). ,YES,YES,YES,NO,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%
MAC,NO,,NO,NO,NO,YES,None of the sectors and gases are covered and pccov_fut is set to 0 (0%).,SetTo0%,None of the sectors and gases are covered and pccov_fut is set to 0 (0%).,SetTo0%,None of the sectors and gases are covered and pccov_fut is set to 0 (0%).,SetTo0%,None of the sectors and gases are covered and pccov_fut is set to 0 (0%).,SetTo0%,None of the sectors and gases are covered and pccov_fut is set to 0 (0%).,SetTo0%
MAR,YES,OTHER set to covered (as all remaining main sectors - excluding LULUCF - are covered). ,NO,YES,NO,NO,test,GasShare,test,GasShare,test,GasShare,test,GasShare,test,GasShare
MCO,YES,IPPU set to covered (as some F-gas is covered). OTHER set to covered (as all remaining main sectors - excluding LULUCF - are covered). ,YES,YES,YES,NO,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%
MDA,YES,IPPU set to covered (as some F-gas is covered). OTHER set to covered (as all remaining main sectors - excluding LULUCF - are covered). ,YES,YES,YES,NO,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%
MDG,YES,OTHER set to covered (as all remaining main sectors - excluding LULUCF - are covered). ,NO,YES,NO,NO,test,GasShare,test,GasShare,test,GasShare,test,GasShare,test,GasShare
MDV,YES,,NO,NO,NO,NO,"The correlation between emitot_his and emicov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (1.00) is larger than 0.85, the emicov for future years are calculated from the correlation.
As there were pccov_fut greater than 90%, while in 2010 to 2017 no values were greater than 90%, they were set to 90% (2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025, 2026, 2027, 2028, 2029, 2030, 2031, 2032, 2033, 2034, 2035, 2036, 2037, 2038, 2039, 2040, 2041, 2042, 2043, 2044, 2045, 2046, 2047, 2048, 2049, 2050).
",Correlation,"The correlation between emitot_his and emicov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (1.00) is larger than 0.85, the emicov for future years are calculated from the correlation.
As there were pccov_fut greater than 90%, while in 2010 to 2017 no values were greater than 90%, they were set to 90% (2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025, 2026, 2027, 2028, 2029, 2030, 2031, 2032, 2033, 2034, 2035, 2036, 2037, 2038, 2039, 2040, 2041, 2042, 2043, 2044, 2045, 2046, 2047, 2048, 2049, 2050).
",Correlation,"The correlation between emitot_his and emicov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (1.00) is larger than 0.85, the emicov for future years are calculated from the correlation.
As there were pccov_fut greater than 90%, while in 2010 to 2017 no values were greater than 90%, they were set to 90% (2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025, 2026, 2027, 2028, 2029, 2030, 2031, 2032, 2033, 2034, 2035, 2036, 2037, 2038, 2039, 2040, 2041, 2042, 2043, 2044, 2045, 2046, 2047, 2048, 2049, 2050).
",Correlation,"The correlation between emitot_his and emicov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (1.00) is larger than 0.85, the emicov for future years are calculated from the correlation.
As there were pccov_fut greater than 90%, while in 2010 to 2017 no values were greater than 90%, they were set to 90% (2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025, 2026, 2027, 2028, 2029, 2030, 2031, 2032, 2033, 2034, 2035, 2036, 2037, 2038, 2039, 2040, 2041, 2042, 2043, 2044, 2045, 2046, 2047, 2048, 2049, 2050).
",Correlation,"The correlation between emitot_his and emicov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (1.00) is larger than 0.85, the emicov for future years are calculated from the correlation.
As there were pccov_fut greater than 90%, while in 2010 to 2017 no values were greater than 90%, they were set to 90% (2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025, 2026, 2027, 2028, 2029, 2030, 2031, 2032, 2033, 2034, 2035, 2036, 2037, 2038, 2039, 2040, 2041, 2042, 2043, 2044, 2045, 2046, 2047, 2048, 2049, 2050).
",Correlation
MEX,YES,IPPU set to covered (as some F-gas is covered). OTHER set to covered (as all remaining main sectors - excluding LULUCF - are covered). ,NO,YES,NO,NO,test,GasShare,test,GasShare,test,GasShare,test,GasShare,test,GasShare
MHL,YES,OTHER set to covered (as all remaining main sectors - excluding LULUCF - are covered). ,NO,YES,NO,NO,test,GasShare,test,GasShare,test,GasShare,test,GasShare,test,GasShare
MKD,YES,,NO,NO,NO,NO,"The correlation between emitot_his and emicov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (0.98) is larger than 0.85, the emicov for future years are calculated from the correlation.
",Correlation,"The correlation between emitot_his and emicov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (0.98) is larger than 0.85, the emicov for future years are calculated from the correlation.
",Correlation,"The correlation between emitot_his and emicov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (0.98) is larger than 0.85, the emicov for future years are calculated from the correlation.
",Correlation,"The correlation between emitot_his and emicov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (0.98) is larger than 0.85, the emicov for future years are calculated from the correlation.
",Correlation,"The correlation between emitot_his and emicov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (0.98) is larger than 0.85, the emicov for future years are calculated from the correlation.
The resulting covered emissions exceed the total emissions or are negative, therefore the mean over 2010 to 2017 is used insted of the correlation.
",Mean
MLI,YES,OTHER set to covered (as all remaining main sectors - excluding LULUCF - are covered). ,NO,YES,NO,NO,test,GasShare,test,GasShare,test,GasShare,test,GasShare,test,GasShare
MLT,YES,IPPU set to covered (as some F-gas is covered). OTHER set to covered (as all remaining main sectors - excluding LULUCF - are covered). ,YES,YES,YES,NO,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%
MMR,YES,,NO,NO,NO,NO,"The correlation between emitot_his and eminotcov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (0.98) is larger than 0.85, the emicov for future years are calculated from the correlation.
",Correlation,"The correlation between emitot_his and eminotcov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (0.98) is larger than 0.85, the emicov for future years are calculated from the correlation.
",Correlation,"The correlation between emitot_his and eminotcov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (0.98) is larger than 0.85, the emicov for future years are calculated from the correlation.
",Correlation,"The correlation between emitot_his and eminotcov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (0.98) is larger than 0.85, the emicov for future years are calculated from the correlation.
",Correlation,"The correlation between emitot_his and eminotcov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (0.98) is larger than 0.85, the emicov for future years are calculated from the correlation.
",Correlation
MNE,YES,IPPU set to covered (as some F-gas is covered). OTHER set to covered (as all remaining main sectors - excluding LULUCF - are covered). ,YES,YES,YES,NO,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%
MNG,YES,IPPU set to covered (as some F-gas is covered). OTHER set to covered (as all remaining main sectors - excluding LULUCF - are covered). ,NO,YES,NO,NO,test,GasShare,test,GasShare,test,GasShare,test,GasShare,test,GasShare
MOZ,YES,,NO,NO,NO,NO,"The correlation between emitot_his and eminotcov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (0.08) is smaller than 0.85, the emicov for future years is calculated as mean over 2010 to 2017.
",Mean,"The correlation between emitot_his and eminotcov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (0.08) is smaller than 0.85, the emicov for future years is calculated as mean over 2010 to 2017.
",Mean,"The correlation between emitot_his and eminotcov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (0.08) is smaller than 0.85, the emicov for future years is calculated as mean over 2010 to 2017.
",Mean,"The correlation between emitot_his and eminotcov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (0.08) is smaller than 0.85, the emicov for future years is calculated as mean over 2010 to 2017.
",Mean,"The correlation between emitot_his and eminotcov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (0.08) is smaller than 0.85, the emicov for future years is calculated as mean over 2010 to 2017.
",Mean
MRT,YES,OTHER set to covered (as all remaining main sectors - excluding LULUCF - are covered). ,NO,YES,NO,NO,test,GasShare,test,GasShare,test,GasShare,test,GasShare,test,GasShare
MSR,NO,,NO,NO,NO,YES,None of the sectors and gases are covered and pccov_fut is set to 0 (0%).,SetTo0%,None of the sectors and gases are covered and pccov_fut is set to 0 (0%).,SetTo0%,None of the sectors and gases are covered and pccov_fut is set to 0 (0%).,SetTo0%,None of the sectors and gases are covered and pccov_fut is set to 0 (0%).,SetTo0%,None of the sectors and gases are covered and pccov_fut is set to 0 (0%).,SetTo0%
MUS,YES,OTHER set to covered (as all remaining main sectors - excluding LULUCF - are covered). ,NO,YES,NO,NO,test,GasShare,test,GasShare,test,GasShare,test,GasShare,test,GasShare
MWI,YES,OTHER set to covered (as all remaining main sectors - excluding LULUCF - are covered). ,NO,YES,NO,NO,test,GasShare,test,GasShare,test,GasShare,test,GasShare,test,GasShare
MYS,YES,OTHER set to covered (as all remaining main sectors - excluding LULUCF - are covered). ,NO,YES,NO,NO,test,GasShare,test,GasShare,test,GasShare,test,GasShare,test,GasShare
NAM,YES,OTHER set to covered (as all remaining main sectors - excluding LULUCF - are covered). ,NO,YES,NO,NO,test,GasShare,test,GasShare,test,GasShare,test,GasShare,test,GasShare
NER,YES,,NO,NO,NO,NO,"The correlation between emitot_his and emicov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (1.00) is larger than 0.85, the emicov for future years are calculated from the correlation.
As there were pccov_fut greater than 90%, while in 2010 to 2017 no values were greater than 90%, they were set to 90% (2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025, 2026, 2027, 2028, 2029, 2030, 2031, 2032, 2033, 2034, 2035, 2036, 2037, 2038, 2039, 2040, 2041, 2042, 2043, 2044, 2045, 2046, 2047, 2048, 2049, 2050).
",Correlation,"The correlation between emitot_his and emicov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (1.00) is larger than 0.85, the emicov for future years are calculated from the correlation.
As there were pccov_fut greater than 90%, while in 2010 to 2017 no values were greater than 90%, they were set to 90% (2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025, 2026, 2027, 2028, 2029, 2030, 2031, 2032, 2033, 2034, 2035, 2036, 2037, 2038, 2039, 2040, 2041, 2042, 2043, 2044, 2045, 2046, 2047, 2048, 2049, 2050).
",Correlation,"The correlation between emitot_his and emicov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (1.00) is larger than 0.85, the emicov for future years are calculated from the correlation.
As there were pccov_fut greater than 90%, while in 2010 to 2017 no values were greater than 90%, they were set to 90% (2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025, 2026, 2027, 2028, 2029, 2030, 2031, 2032, 2033, 2034, 2035, 2036, 2037, 2038, 2039, 2040, 2041, 2042, 2043, 2044, 2045, 2046, 2047, 2048, 2049, 2050).
",Correlation,"The correlation between emitot_his and emicov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (1.00) is larger than 0.85, the emicov for future years are calculated from the correlation.
As there were pccov_fut greater than 90%, while in 2010 to 2017 no values were greater than 90%, they were set to 90% (2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025, 2026, 2027, 2028, 2029, 2030, 2031, 2032, 2033, 2034, 2035, 2036, 2037, 2038, 2039, 2040, 2041, 2042, 2043, 2044, 2045, 2046, 2047, 2048, 2049, 2050).
",Correlation,"The correlation between emitot_his and emicov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (1.00) is larger than 0.85, the emicov for future years are calculated from the correlation.
As there were pccov_fut greater than 90%, while in 2010 to 2017 no values were greater than 90%, they were set to 90% (2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025, 2026, 2027, 2028, 2029, 2030, 2031, 2032, 2033, 2034, 2035, 2036, 2037, 2038, 2039, 2040, 2041, 2042, 2043, 2044, 2045, 2046, 2047, 2048, 2049, 2050).
",Correlation
NGA,YES,,NO,NO,NO,NO,"The correlation between emitot_his and emicov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (0.99) is larger than 0.85, the emicov for future years are calculated from the correlation.
",Correlation,"The correlation between emitot_his and emicov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (0.99) is larger than 0.85, the emicov for future years are calculated from the correlation.
",Correlation,"The correlation between emitot_his and emicov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (0.99) is larger than 0.85, the emicov for future years are calculated from the correlation.
",Correlation,"The correlation between emitot_his and emicov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (0.99) is larger than 0.85, the emicov for future years are calculated from the correlation.
",Correlation,"The correlation between emitot_his and emicov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (0.99) is larger than 0.85, the emicov for future years are calculated from the correlation.
",Correlation
NIC,YES,,NO,NO,NO,NO,"The correlation between emitot_his and eminotcov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (0.97) is larger than 0.85, the emicov for future years are calculated from the correlation.
",Correlation,"The correlation between emitot_his and eminotcov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (0.97) is larger than 0.85, the emicov for future years are calculated from the correlation.
",Correlation,"The correlation between emitot_his and eminotcov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (0.97) is larger than 0.85, the emicov for future years are calculated from the correlation.
",Correlation,"The correlation between emitot_his and eminotcov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (0.97) is larger than 0.85, the emicov for future years are calculated from the correlation.
",Correlation,"The correlation between emitot_his and eminotcov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (0.97) is larger than 0.85, the emicov for future years are calculated from the correlation.
",Correlation
NIU,YES,,NO,NO,NO,NO,"The correlation between emitot_his and emicov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (1.00) is larger than 0.85, the emicov for future years are calculated from the correlation.
",Correlation,"The correlation between emitot_his and emicov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (1.00) is larger than 0.85, the emicov for future years are calculated from the correlation.
",Correlation,"The correlation between emitot_his and emicov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (1.00) is larger than 0.85, the emicov for future years are calculated from the correlation.
",Correlation,"The correlation between emitot_his and emicov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (1.00) is larger than 0.85, the emicov for future years are calculated from the correlation.
",Correlation,"The correlation between emitot_his and emicov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (1.00) is larger than 0.85, the emicov for future years are calculated from the correlation.
",Correlation
NLD,YES,IPPU set to covered (as some F-gas is covered). OTHER set to covered (as all remaining main sectors - excluding LULUCF - are covered). ,YES,YES,YES,NO,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%
NOR,YES,IPPU set to covered (as some F-gas is covered). OTHER set to covered (as all remaining main sectors - excluding LULUCF - are covered). ,YES,YES,YES,NO,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%
NPL,YES,OTHER set to covered (as all remaining main sectors - excluding LULUCF - are covered). ,NO,YES,NO,NO,test,GasShare,test,GasShare,test,GasShare,test,GasShare,test,GasShare
